root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
18:06:16.539132 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 3284923085:3284923193, ack 2995908561, win 501, length 108
18:06:16.539272 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 108:144, ack 1, win 501, length 36
18:06:16.539415 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 144:252, ack 1, win 501, length 108
18:06:16.539514 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 252:288, ack 1, win 501, length 36
18:06:16.539805 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 288:460, ack 1, win 501, length 172
18:06:16.539898 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 460:496, ack 1, win 501, length 36
18:06:16.540032 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 496:644, ack 1, win 501, length 148
18:06:16.540128 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 644:680, ack 1, win 501, length 36
18:06:16.540242 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 680:828, ack 1, win 501, length 148
18:06:16.543173 IP 67.71.177.9.56818 > 159.89.114.168.22: Flags [.], ack 828, win 8390, length 0
18:06:16.543242 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 828:1968, ack 1, win 501, length 1140
18:06:16.543401 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 1968:2100, ack 1, win 501, length 132
18:06:16.543492 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 2100:2136, ack 1, win 501, length 36
18:06:16.543594 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 2136:2284, ack 1, win 501, length 148
18:06:16.543669 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 2284:2320, ack 1, win 501, length 36
18:06:16.543764 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 2320:2468, ack 1, win 501, length 148
18:06:16.543866 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 2468:2504, ack 1, win 501, length 36
18:06:16.544010 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 2504:2652, ack 1, win 501, length 148
18:06:16.544075 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 2652:2688, ack 1, win 501, length 36
18:06:16.544169 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 2688:2836, ack 1, win 501, length 148
18:06:16.544302 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 2872:3020, ack 1, win 501, length 148
18:06:16.544432 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 3056:3204, ack 1, win 501, length 148
18:06:16.544559 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 3240:3388, ack 1, win 501, length 148
18:06:16.544697 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 3424:3572, ack 1, win 501, length 148
18:06:16.544855 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 3608:3756, ack 1, win 501, length 148
18:06:16.547666 IP 67.71.177.9.56818 > 159.89.114.168.22: Flags [.], ack 3608, win 8394, length 0
18:06:16.547720 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 3756:4896, ack 1, win 501, length 1140
